cidade,data_previsao,temperatura,umidade,proba_chuva,latitude,longitude
Gurupi,2025-12-12 18:00:00,30.39,56,0.0,-11.7292,-49.0686
Gurupi,2025-12-12 21:00:00,28.52,66,0.0,-11.7292,-49.0686
Gurupi,2025-12-13 00:00:00,25.44,73,0.0,-11.7292,-49.0686
Gurupi,2025-12-13 03:00:00,23.99,80,0.0,-11.7292,-49.0686
Gurupi,2025-12-13 06:00:00,23.04,86,20.0,-11.7292,-49.0686
Gurupi,2025-12-13 09:00:00,22.47,85,0.0,-11.7292,-49.0686
Gurupi,2025-12-13 12:00:00,27.93,66,0.0,-11.7292,-49.0686
Gurupi,2025-12-13 15:00:00,32.48,48,0.0,-11.7292,-49.0686
Gurupi,2025-12-13 18:00:00,32.66,47,0.0,-11.7292,-49.0686
Gurupi,2025-12-13 21:00:00,29.6,64,0.0,-11.7292,-49.0686
Gurupi,2025-12-14 00:00:00,26.91,69,0.0,-11.7292,-49.0686
Gurupi,2025-12-14 03:00:00,24.54,77,63.0,-11.7292,-49.0686
Gurupi,2025-12-14 06:00:00,23.22,90,94.0,-11.7292,-49.0686
Gurupi,2025-12-14 09:00:00,22.81,92,91.0,-11.7292,-49.0686
Gurupi,2025-12-14 12:00:00,28.03,70,28.0,-11.7292,-49.0686
Gurupi,2025-12-14 15:00:00,33.34,49,0.0,-11.7292,-49.0686
Gurupi,2025-12-14 18:00:00,34.4,42,0.0,-11.7292,-49.0686
Gurupi,2025-12-14 21:00:00,28.66,62,0.0,-11.7292,-49.0686
Gurupi,2025-12-15 00:00:00,28.16,64,20.0,-11.7292,-49.0686
Gurupi,2025-12-15 03:00:00,25.32,76,2.0,-11.7292,-49.0686
Gurupi,2025-12-15 06:00:00,23.03,89,94.0,-11.7292,-49.0686
Gurupi,2025-12-15 09:00:00,22.65,94,100.0,-11.7292,-49.0686
Gurupi,2025-12-15 12:00:00,28.3,72,80.0,-11.7292,-49.0686
Gurupi,2025-12-15 15:00:00,33.02,50,36.0,-11.7292,-49.0686
Gurupi,2025-12-15 18:00:00,29.4,66,23.0,-11.7292,-49.0686
Gurupi,2025-12-15 21:00:00,28.29,72,21.0,-11.7292,-49.0686
Gurupi,2025-12-16 00:00:00,23.93,83,100.0,-11.7292,-49.0686
Gurupi,2025-12-16 03:00:00,22.92,87,21.0,-11.7292,-49.0686
Gurupi,2025-12-16 06:00:00,22.68,91,8.0,-11.7292,-49.0686
Gurupi,2025-12-16 09:00:00,22.84,92,0.0,-11.7292,-49.0686
Gurupi,2025-12-16 12:00:00,28.35,70,0.0,-11.7292,-49.0686
Gurupi,2025-12-16 15:00:00,32.97,50,20.0,-11.7292,-49.0686
Gurupi,2025-12-16 18:00:00,32.66,50,20.0,-11.7292,-49.0686
Gurupi,2025-12-16 21:00:00,24.47,89,100.0,-11.7292,-49.0686
Gurupi,2025-12-17 00:00:00,22.88,96,100.0,-11.7292,-49.0686
Gurupi,2025-12-17 03:00:00,22.9,95,100.0,-11.7292,-49.0686
Gurupi,2025-12-17 06:00:00,22.21,96,100.0,-11.7292,-49.0686
Gurupi,2025-12-17 09:00:00,21.93,97,100.0,-11.7292,-49.0686
Gurupi,2025-12-17 12:00:00,24.83,85,100.0,-11.7292,-49.0686
Gurupi,2025-12-17 15:00:00,28.73,69,98.0,-11.7292,-49.0686
